id,denekId,sayac,yatirim,rakip,secim,secimsure,kazanc,toplam,PE_raw,V_value,PE_normalized,group
74,15,0,1,1,1,187,60,60,5.0,1.0,1.2022998233681865,1
75,15,1,0,1,1,640,20,80,0.8940909090909095,1.1059090909090905,-0.2673096560235686,1
76,15,2,1,1,1,733,60,140,4.8940909090909095,1.1059090909090905,1.1643922612406234,1
77,15,3,1,1,1,1482,60,200,4.790425165289257,1.2095748347107431,1.1272876502017624,1
78,15,4,0,1,1,1716,20,220,0.688955250424494,1.311044749575506,-0.3407329349765586,1
79,15,5,1,1,1,1029,60,280,4.688955250424494,1.311044749575506,1.0909689822876334,1
80,15,6,0,1,1,1872,20,300,0.5896346528473211,1.410365347152679,-0.3762823074703245,1
81,15,7,1,1,1,1014,60,360,4.589634652847321,1.410365347152679,1.0554196097938677,1
82,15,8,1,1,1,936,60,420,4.4924178461097375,1.5075821538902627,1.0206232376447424,1
83,15,9,1,1,1,1623,60,480,4.3972602680966855,1.602739731903314,0.9865639159238665,1
84,15,10,1,1,1,1357,60,540,4.304118300599729,1.6958816994002708,0.9532260325630786,1
85,15,11,1,1,1,842,60,600,4.2129492493233895,1.7870507506766102,0.9205943061862054,1
86,15,12,1,1,1,936,60,660,4.1237113243149945,1.8762886756850052,0.888653779104406,1
87,15,13,1,1,1,843,60,720,4.03636362080905,1.9636363791909497,0.8573898104598848,1
88,15,14,1,1,1,1186,60,780,3.950866100477368,2.049133899522632,0.8267880695148341,1
89,15,15,1,1,1,1045,60,840,3.867179573076348,2.132820426923652,0.7968345290825283,1
90,15,16,1,0,1,874,0,840,-2.214734321516996,2.214734321516996,-1.3800374167987266,1
91,15,17,1,1,1,530,60,900,3.8321777782024093,2.1678222217975907,0.7843064948753519,1
92,15,18,1,1,1,858,60,960,3.7510052852641222,2.2489947147358778,0.7552527914331368,1
93,15,19,1,1,1,827,60,1020,3.671552173312619,2.328447826687381,0.7268144982547435,1
94,15,20,1,0,1,1435,0,1020,-2.406217977267548,2.406217977267548,-1.4485742960644323,1
95,15,21,1,1,1,733,60,1080,3.644750094432755,2.355249905567245,0.7172213513250016,1
96,15,22,1,1,1,1139,60,1140,3.567547660614316,2.432452339385684,0.6895886331961714,1
97,15,23,0,1,1,1623,20,1160,-0.5080194852877868,2.508019485287787,-0.7691606909855766,1
98,15,24,1,0,1,2075,0,1160,-2.508019485287787,2.508019485287787,-1.4850116496176726,1
