denekId,alpha,tau
8,0.21880922927117505,0.26255672002551567
15,0.23937628387607804,0.1958658797879
16,0.1207839186846143,0.16954834648818348
18,0.28055768438869294,0.20418165541765868
20,0.27299218918583557,0.20902405385449696
21,0.24936062585029176,0.2685784923939357
24,0.22785073501381242,0.21203243613836462
27,0.21957499731913696,0.26063412493095944
28,0.1983283395764697,0.1389898226757857
29,0.18871305234217592,0.21846284503845567
30,0.31693439887125274,0.34833474669485875
33,0.10906929826910751,0.17220299198686653
35,0.20691889186082307,0.21933097341586355
43,0.07267809174200364,0.2150681834369961
45,0.19770871751718905,0.1821390266826823
51,0.15217952965685586,0.1396198215607982
59,0.27800541916961913,0.22302118140370333
60,0.19527926730598102,0.3225703824710284
63,0.25293699633262723,0.2846624333768578
64,0.1501498482742432,0.15239985375959753
67,0.2678921748848313,0.3098984470389959
68,0.22383834815326673,0.171639534254037
69,0.21375328442945027,0.26906183957481333
74,0.21275408915676913,0.27902900961558
76,0.11579127807165356,0.24896456307575626
77,0.9679305640884125,0.411321613275952
78,0.23548564585624152,0.29099675740895387
80,0.34985458813765746,0.2720736034796417
82,0.12624277364289993,0.13950597173562243
85,0.17195371231599127,0.14321642450156613
87,0.2298242172377351,0.300359567665767
88,0.1486579058744728,0.15960424440971302
90,0.16220785853226455,0.22791178337397655
91,0.2229130908480944,0.24359612985323048
92,0.25061539267761473,0.34147057068667475
93,0.14029525558488135,0.28524007308380805
94,0.14524921868812674,0.28407785378744765
97,0.2654757811952638,0.2791160726598173
99,0.17185871511949383,0.29574667997915505
101,0.18666874514645926,0.23022045843284067
102,0.24038498149208382,0.2889546577407922
104,0.14379630359710655,0.25441463232314393
105,0.24129444259922653,0.27623659927705946
108,0.28222023981708444,0.24308417278577657
109,0.42156388585263677,0.2463745341223177
117,0.1925696614478736,0.23426306058860052
119,0.11182818366178175,0.12535503482227658
120,0.2872667083102121,0.23040233948209551
121,0.2489152669443828,0.13800328138066167
124,0.32653588119417315,0.3778588118303921
126,0.27954130357927454,0.30341488185210913
132,0.13471454844636263,0.16563251788283004
134,0.3687454094365682,0.40233958383597845
135,0.2651703106464852,0.25777687035356184
1002,0.20477684238860316,0.296868968448542
10042,0.31568171987965027,0.2851832297867822
10057,0.374737953070701,0.26547753350367675
10058,0.3153313320677334,0.13977745077981388
10064,0.18712564499869858,0.14417721186713167
10073,0.16823506858647375,0.2735539726034655
10077,0.19337421733219612,0.3118608957708853
10078,0.226540315545507,0.1382586668929676
10079,0.1240772846413791,0.23686182180987433
10080,0.21502447287752988,0.16641017032009567
10081,0.1870870771271045,0.35754728801597196
10082,0.2190638394279677,0.2154205065636472
10083,0.4571049576915269,0.32477273042241084
10084,0.1346616718192095,0.26996287092554
10085,0.23581354426889037,0.2149581832085808
10086,0.45042208415070406,0.16430393215777842
10087,0.16790581708232025,0.21322476897095333
10088,0.19284132731376757,0.2510283758372044
10089,0.1753595756364633,0.4280300957774057
10090,0.2122624639802327,0.330190005719042
10091,0.1261675758324537,0.15403506390021512
10093,0.33050806402877125,0.37371839603052925
10094,0.2233028366526837,0.27440803179533
10096,0.18259133201636912,0.3017617855924995
10097,0.18019784640528919,0.30277401522110103
10099,0.33282074045439236,0.17882154144850262
100100,0.24025134828420125,0.22840629308634605
100101,0.23412858987429772,0.2998703512508209
100103,0.30779570987969423,0.26579825761256404
100104,0.3010932803235008,0.19122321364094502
100105,0.16666418620342144,0.34807601125217097
